ship,station,lat,lon,ch4_nmolkg,n2o_nmolkg,std_ch4_nmolkg,ch4_eq_nmolkg,std_n2o_nmolkg,n2o_eq_nmolkg,sal,temp,depth,press,mld,yyyy,mm,dd,HH,MM,SS
Laurier,BCL-6A,63.91816667,-172.1013333,2.756212087,11.54525335,1.11256068,2.929965298,1.144876178,11.61558431,32.4955,7.8161,5.692017297,5.750487707,13,2018,7,17,18,51,0
Laurier,BRS-3,65.68316667,-168.5675,2.523972363,11.03971269,0.510428463,2.984396467,0.077398122,11.82999036,30.6806,7.6323,5.372482544,5.428349943,13,2018,7,19,8,8,0
Laurier,DBO4.2n,71.323,-160.6553333,6.098763747,14.88861491,0.664061863,3.48340031,0.063368094,14.63880448,30.2634,2.0354,5.572489846,5.632441927,12,2018,7,23,5,13,0
Laurier,DBO4.3n,71.4545,-161.0363333,9.220505739,14.84708827,1.57869801,3.629587985,1.638184501,15.45796879,30.0119,0.7039,5.19336881,5.249276266,13,2018,7,23,1,48,0
Laurier,DBO4.4n,71.58833333,-161.4011667,10.63756132,15.88364366,0.281358208,3.681158705,0.567301942,15.72715805,29.5992,0.3438,5.322988539,5.380333042,9,2018,7,22,22,17,0
Laurier,DBO4.5n,71.7945,-161.7708333,5.981422913,15.93554462,0.254752207,3.620138153,0.142791191,15.36855328,29.424,0.9489,4.927028907,4.98016001,10,2018,7,22,17,9,0
Laurier,DBO4.6n,71.85183333,-162.157,5.010453015,14.47228519,2.91496619,3.567002471,1.028161533,15.08500707,29.7471,1.3621,5.276393352,5.333312855,12,2018,7,22,14,31,0
Laurier,SEC-1,67.67183333,-168.9296667,3.483997162,11.96329602,2.003953325,3.035398422,1.364081205,12.1813489,31.904,6.606,5.324245214,5.380330564,26,2018,7,21,8,11,0
Laurier,SEC-3,67.89883333,-168.2363333,3.997513389,12.4237037,0.46556064,2.978382142,0.100586529,11.8620587,31.9665,7.3268,5.84192446,5.903556783,8,2018,7,21,0,20,0
Laurier,SEC-5,68.12783333,-167.4935,5.236257053,11.96516816,0.258933295,2.928891998,0.031651315,11.54587227,31.2346,8.2117,5.374576877,5.431352918,6,2018,7,20,19,19,0
Laurier,SEC-7,68.24416667,-167.1215,4.700393193,11.35859202,0.733296243,2.819252806,0.386460591,10.90311371,30.6474,9.9467,5.388396378,5.445359049,13,2018,7,20,15,50,0
Laurier,SLIP-1,62.00916667,-175.0631667,2.509588168,11.39035551,0.550919264,2.955977082,1.179712443,11.73590201,31.9736,7.6225,5.435329134,5.490374039,20,2018,7,16,15,16,0
Laurier,SLIP-3,62.39133333,-174.5686667,2.544504509,11.65719884,0.834911151,2.95692195,1.039424951,11.7325726,31.8037,7.6609,5.539158608,5.595419639,25,2018,7,16,23,54,0
Laurier,SLIP-4,63.03133333,-173.456,3.145112433,12.41814272,0.797264878,2.956258513,0.333782598,11.719304,31.6167,7.726,5.163563001,5.216256508,7,2018,7,17,10,18,0
Laurier,SLIP-5,62.55816667,-173.558,3.202041477,12.474468,0.383156221,2.965582302,0.390415791,11.77105829,31.6006,7.6062,5.04094323,5.092202639,28,2018,7,17,5,15,0
Laurier,UTBS-1,64.9915,-169.1398333,5.157302061,15.2140649,0.267293347,3.210722182,0.466165671,13.2241107,32.7503,4.2449,5.307391626,5.362320943,5,2018,7,18,18,57,0
Laurier,UTBS-5,64.6725,-169.927,4.139937838,15.70611267,1.529874522,3.286813983,0.286936313,13.667018,32.8938,3.3539,5.344149258,5.3993367,5,2018,7,18,4,18,0
Laurier,UTN-2,67.05016667,-168.7281667,3.272806567,12.15112345,0.869631777,2.982191704,0.295234234,11.83890733,31.0967,7.5368,5.5224689,5.580416586,14,2018,7,19,17,57,0
Laurier,UTN-4,67.50033333,-168.9088333,3.904080852,13.33772894,0.306031237,3.058097342,0.256291592,12.3212283,32.1177,6.2559,5.388654879,5.445358548,28,2018,7,20,0,42,0
